Row,Neighborhood,City,Latitude,Longitude
66,Mid-Market,San Francisco,37.780212,-122.411539
67,Midtown Terrace,San Francisco,37.750736,-122.453263
68,Miraloma Park,San Francisco,37.740138,-122.459123
69,Mission Bay,San Francisco,37.7707742,-122.3911712
70,Mission District,San Francisco,37.75993,-122.4191376
71,Mission Dolores,San Francisco,37.791841,-122.394939
72,Mission Terrace,San Francisco,37.722993,-122.442295
73,Monterey Heights,San Francisco,37.73301,-122.46184
74,Mount Davidson,San Francisco,37.7382643,-122.4533047
75,Nob Hill,San Francisco,37.7932622,-122.415249
76,Noe Valley,San Francisco,37.7515906,-122.4320814
77,North Beach,San Francisco,37.8011749,-122.4090021
78,North of Panhandle,San Francisco,37.776266,-122.442437
79,Oceanview,San Francisco,37.714318,-122.456961
80,Outer Mission,San Francisco,37.715775,-122.445867
81,Outer Sunset,San Francisco,37.762735,-122.495877
82,Pacific Heights,San Francisco,37.7927171,-122.4356445
83,Panhandle,San Francisco,37.772803,-122.44607
84,Parkmerced,San Francisco,37.7171762,-122.4789473
85,Parkside,San Francisco,37.742488,-122.489457
86,Parnassus,San Francisco,37.763665,-122.457337
87,Polk Gulch,San Francisco,37.791314,-122.420824
88,Portola,San Francisco,37.726379,-122.4085514
89,Portola Place,San Francisco,37.727225,-122.398331
90,Potrero Hill,San Francisco,37.7565834,-122.3991374
91,Presidio,San Francisco,37.7987456,-122.4645889
92,Presidio Heights,San Francisco,37.7887511,-122.4530266
93,Richmond District,San Francisco,37.7806432,-122.4725964
94,Rincon Hill,San Francisco,37.7852068,-122.3919152
95,Russian Hill,San Francisco,37.8000729,-122.4170942
96,Saint Francis Wood,San Francisco,37.7346534,-122.4680272
97,Sea Cliff,San Francisco,37.786456,-122.490144
98,Sherwood Forest,San Francisco,37.737089,-122.458853
99,Silver Terrace,San Francisco,37.7338538,-122.4000282
100,South Beach,San Francisco,37.7798139,-122.3911499
101,South End,San Francisco,37.782545,-122.390857
102,South of Market,San Francisco,37.7808925,-122.4009518
103,South Park,San Francisco,37.7815898,-122.3939747
104,Sunnydale,San Francisco,37.7092072,-122.4049659
105,Sunnyside,San Francisco,37.730752,-122.446464
106,Sunset District,San Francisco,37.7535418,-122.4952495
107,Telegraph Hill,San Francisco,37.800785,-122.4040908
108,Tenderloin,San Francisco,37.7842493,-122.4139933
109,Treasure Island,San Francisco,37.8233541,-122.3701531
110,Twin Peaks,San Francisco,37.75464,-122.44648
111,Union Square,San Francisco,37.7879363,-122.4075174
112,University Mound,San Francisco,37.726481,-122.41783
113,Upper Market,San Francisco,37.754355,-122.44366
114,Visitacion Valley,San Francisco,37.7121319,-122.4097128
115,Vista del Mar,San Francisco,37.778856,-122.507766
116,West Portal,San Francisco,37.7411405,-122.4656336
117,Western Addition,San Francisco,37.779559,-122.4298104
118,Westwood Highlands,San Francisco,37.733321,-122.456638
119,Westwood Park,San Francisco,37.726217,-122.456536
120,Yerba Buena,San Francisco,37.78509,-122.400512
